page,municipality,title,amount_text,fixed_amount,status,chunk
area/tokyo/chofu/seido/1638,chofu,妊婦健康診査費用助成,"令和7年度：1回目11,280円／2回目以降5,280円／超音波5,300円（4回）／子宮頸がん3,400円。14回","1回目11,280円/2回目以降5,280円（14回）※令和7年度",fixed,F
area/tokyo/fussa/seido/1647,fussa,妊婦健康診査費用助成,"通常の妊婦健診は上限額の記載なし。多胎妊婦向けは1回あたり5,460円（令和8年3月末まで5,280円）を5回まで助成","多胎：1回5,460円×5回（通常分は記載なし）",fixed,F
area/tokyo/hamura/seido/1655,hamura,妊婦健康診査費用助成,「市規定額内」との記載のみで具体的金額なし（詳細はPDF）,,no_amount,F
area/tokyo/kozushima/seido/1666,kozushima,妊婦健康診査費用助成,条例で助成額の算定方法（健診費と都単価の低い方）規定のみ。14回。具体的上限額なし,,no_amount,F
area/tokyo/fuchu/seido/1645,fuchu,妊婦健康診査費用助成,受診票交付枚数（14枚等）の記載のみで具体的金額なし,,no_amount,F
area/tokyo/sumida/seido/1621,sumida,妊婦健康診査費用助成,一定金額を上限に公費負担との記載のみで具体的金額なし,,no_amount,F
area/tokyo/hinohara/seido/1663,hinohara,妊婦健康診査費用助成,最大14回受診可の記載のみで具体的上限額なし,,no_amount,F
area/tokyo/hino/seido/1641,hino,妊婦健康診査費用助成,"令和8年4月1日以降：1回目11,670円／2～14回目5,460円／超音波5,300円／子宮頸がん3,400円。14回（多胎追加最大5回）","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/higashiyamato/seido/1649,higashiyamato,妊婦健康診査費用助成,上限額の範囲内で助成との記載のみで具体的金額なし,,no_amount,F
area/tokyo/toshima/seido/1625,toshima,妊婦健康診査費用助成,"通常の妊婦健診（1～14回目）は上限額の記載なし。多胎15～19回目は5,280円（令和8年3月末まで）／5,460円（令和8年4月以降）。14回","多胎15～19回目5,460円（通常分は記載なし）",fixed,F
area/tokyo/nishitokyo/seido/1657,nishitokyo,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目5,460円／超音波5,300円（4回）／子宮頸がん3,400円。妊婦健診14回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/kiyose/seido/1650,kiyose,妊婦健康診査費用助成,"1回目11,670円／2～14回目5,460円／超音波5,300円／子宮頸がん3,400円／新生児聴覚3,000円。妊婦健診14回・超音波4回・子宮頸がん1回","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/mikurajima/seido/2215,mikurajima,御蔵島村不妊治療・不育症治療支援事業,実施要項・申請書PDFへのリンクのみで具体的金額なし,,no_amount,F
area/tokyo/nerima/seido/1616,nerima,妊婦健康診査費用助成,"令和8年度：1回目11,670円／2～14回目5,460円／超音波5,300円（4回）／子宮頸がん3,400円。14回。助産所は原則7回上限","1回目11,670円/2～14回目5,460円（14回）",fixed,F
area/tokyo/komae/seido/2889,komae,狛江市 不妊・不育症治療費助成（市独自上乗せ）,こまえ子育てねっとへのリンクのみで具体的金額なし,,no_amount,F
area/tokyo/katsushika/seido/655,katsushika,介護保険施設での食費・居住費の負担額減額,"負担限度額(1日,令和6年8月〜)。食費 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費は室種別で第1〜3段階0〜1,370円。段階別で単一額なし",no,ok,G
area/tokyo/ota/seido/640,ota,介護保険 居住費と食費の負担限度額認定制度,"食費 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費は室種別で0〜1,370円。段階別で単一額なし",no,ok,G
area/tokyo/bunkyo/seido/664,bunkyo,施設サービス等の食費・居住費の負担軽減,ページに金額記載なし(所得区分に応じ軽減、具体額は案内PDF),no,no_amount,G
area/tokyo/higashikurume/seido/2141,higashikurume,東久留米市障害者グループホーム等支援事業（居室家賃助成）,要綱に金額記載なし(東京都取扱要領第9条の算定額を助成),no,no_amount,G
area/tokyo/higashikurume/seido/1236,higashikurume,住居確保給付金事業（家賃補助）,"家賃実費(上限)月額。1人53,700円／2人64,000円／3〜5人69,800円／6人75,000円／7人83,800円。最長9か月。単一額なし",no,ok,G
area/tokyo/okutama/seido/2142,okutama,奥多摩町 定住支援（家賃補助・転居費用補助）,src_url 404。関連:奥多摩町定住促進サポート事業支援金 1世帯最大60万円(起業最大100万円)。家賃補助・転居費用補助の具体額は未確認,no,fetch_failed,G
area/tokyo/minato/seido/2609,minato,港区 住居確保給付金（家賃補助）のご案内,"家賃実費(上限)月額。1人69,800円／2人75,000円／3人81,000円／4人86,000円(区の特別基準)。単一額なし",no,ok,G
area/tokyo/minato/seido/669,minato,食費・居住費の軽減（介護保険負担限度額認定）,"食費 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費0〜1,370円(室種別)。段階別で単一額なし",no,ok,G
area/tokyo/hachioji/seido/2130,hachioji,八王子市家賃補助対象住宅（高齢・障害・子育て世帯向け）,ページに補助金額記載なし(募集案内へのリンクのみ),no,no_amount,G
area/tokyo/shinagawa/seido/3000,shinagawa,品川区 介護職員・介護支援専門員居住支援手当（区補助事業）,"補助上限 月額10,000円",yes,ok,G
area/tokyo/shinjuku/seido/2994,shinjuku,新宿区 高齢者等入居支援（家賃等債務保証料助成等）,ページに助成金額記載なし(制度概要とリンクのみ),no,no_amount,G
area/tokyo/arakawa/seido/2620,arakawa,荒川区 住居確保給付金（家賃・転居費用でお困りの方へ）,"家賃実費(上限)月額。単身53,700円／2人64,000円／3人69,800円(4人以上は要問合せ)。単一額なし",no,ok,G
area/tokyo/taito/seido/646,taito,介護保険 食費・居住費の負担軽減,"食費(施設) 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費は室種別で380〜1,370円。段階別で単一額なし",no,ok,G
area/tokyo/taito/seido/2119,taito,台東区高齢者等住み替え居住支援制度,"転居費用(礼金・仲介手数料・引越費用の合計)助成 上限150,000円(一時金)",yes,ok,G
area/tokyo/taito/seido/2613,taito,台東区 住居確保給付金の支給（家賃補助）,"家賃実費(上限)月額。単身53,700円／2人64,000円／3〜5人69,800円／6人75,000円／7人以上83,800円。単一額なし",no,ok,G
area/tokyo/shibuya/seido/650,shibuya,介護保険 居住費・食費の軽減,"食費 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費0〜1,370円(室種別)。段階別で単一額なし",no,ok,G
area/tokyo/tachikawa/seido/1037,tachikawa,住居確保給付金（家賃補助）,ページに具体額記載なし(生活保護の住宅扶助額を上限、原則3か月最大9か月),no,no_amount,G
area/tokyo/nakano/seido/3002,nakano,中野区 あんしん居住サービス利用助成,"初回の事務手数料の実費 上限20,000円",yes,ok,G
area/tokyo/nakano/seido/2617,nakano,中野区 住居確保給付金（家賃補助）について,"家賃実費(上限)月額。単身53,700円／2人64,000円／3〜5人69,800円。単一額なし",no,ok,G
area/tokyo/higashimurayama/seido/1191,higashimurayama,住居確保給付金（家賃補助）,src_url 403エラー。検索でも具体額を確認できず(市区町村ごとに定める額を上限),no,fetch_failed,G
area/tokyo/chiyoda/seido/2117,chiyoda,千代田区次世代育成住宅助成（近居・区内転居の家賃助成）,"家賃助成 月額。親元近居 最高88,000円〜最低8,000円／区内転居 最高77,000円〜最低12,000円(世帯人数・年数で逓減)。最長8年間。転居費用一律10万円",no,ok,G
area/tokyo/chiyoda/seido/2612,chiyoda,千代田区 住居確保給付金（家賃補助）,ページに具体額記載なし(家賃相当額を給付、案内PDF参照),no,no_amount,G
area/tokyo/chuo/seido/2990,chuo,中央区 あんしん居住制度利用助成,"預り金型:初回契約時の利用費用の2分の1(初回のみ)／月払型:事務手数料11,000円。単一額なし",no,ok,G
area/tokyo/chuo/seido/2114,chuo,中央区家賃債務保証制度利用助成,保証料の2分の1(上限額の記載なし),no,ok,G
area/tokyo/mitaka/seido/2106,mitaka,三鷹市居住支援（家賃債務保証会社の初回保証料助成等）,ページに助成金額記載なし(リンク先詳細ページ),no,no_amount,G
area/tokyo/musashino/seido/1077,musashino,住居確保給付金（家賃補助）,"家賃実費(上限)月額。1人53,700円／2人64,000円／3〜5人69,800円。最長9か月。単一額なし",no,ok,G
area/tokyo/musashino/seido/2134,musashino,武蔵野市ひとり親家庭等住宅費助成制度（家賃助成）,"月額10,000円(家賃が1万円未満は家賃相当額)",yes,ok,G
area/tokyo/itabashi/seido/2621,itabashi,板橋区 住居確保給付金のご案内（家賃補助・転居費用）,ページに具体額記載なし(家賃相当額を一定期間支給、案内資料参照),no,no_amount,G
area/tokyo/kita/seido/2619,kita,北区 住居確保給付金の支給（家賃分・転居費用分）,"家賃分月額 単身53,700円／2人64,000円／3〜5人69,800円。転居費用分(区内) 単身279,200円／2人300,000円／3人324,000円。単一額なし",no,ok,G
area/tokyo/suginami/seido/666,suginami,施設利用時の食費・居住費の軽減制度,"食費 第1段階300円／第2段階390円／第3-1段階650円／第3-2段階1,360円。居住費0〜1,370円(室種別)。段階別で単一額なし",no,ok,G
area/tokyo/suginami/seido/453,suginami,家賃助成,"月額上限25,000円(年間上限30万円)。対象:ひとり親世帯・多子世帯。1世帯2回まで",yes,ok,G
area/tokyo/edogawa/seido/2624,edogawa,江戸川区 住居確保給付金（家賃補助）,"家賃実費(上限)月額。単身53,700円／2人64,000円／3〜5人69,800円。単一額なし",no,ok,G
area/tokyo/edogawa/seido/2129,edogawa,江戸川区ひとり親家庭 民間賃貸住宅家賃助成,ページに助成金額記載なし,no,no_amount,G
area/tokyo/chofu/seido/2131,chofu,調布市住まいぬくもり支援制度（居住支援：家賃保証料・仲介手数料の助成）,"仲介手数料助成 上限64,000円／家賃保証料助成 上限32,000円(実支出額との低い方)",no,ok,G
area/tokyo/hamura/seido/1120,hamura,介護保険施設などの居住費・食費の負担軽減制度,"食費(特養等) 第1段階300円／第2段階390円／第3-1段階680円／第3-2段階1,420円。居住費0〜980円(室種別)。段階別で単一額なし",no,ok,G
area/tokyo/hino/seido/1016,hino,住居確保給付金（家賃補助）,"家賃実費(上限)月額。単身53,700円／2人64,000円／3〜5人69,800円。単一額なし",no,ok,G
area/tokyo/hino/seido/1013,hino,高齢者民間住宅家賃助成,"月額10,000円(家賃30,000円未満の場合は家賃額の1/3)",yes,ok,G
area/tokyo/higashiyamato/seido/2140,higashiyamato,東大和市障害者グループホーム利用者家賃助成事業,"所得月額73,000円未満 月上限24,000円／73,000〜97,000円未満 月上限12,000円(家賃額と比較し低い方)。区分別",no,ok,G
area/tokyo/kokubunji/seido/939,kokubunji,住居確保給付金（家賃補助）,"家賃実費(上限)月額。単身53,700円／2人64,000円／3〜5人69,800円。単一額なし",no,ok,G
area/tokyo/kokubunji/seido/2136,kokubunji,国分寺市 障害者グループホーム等の家賃助成,"所得月額73,000円未満 月24,000円／73,000〜97,000円未満 月12,000円／97,000円以上 0円(家賃額を限度)。区分別",no,ok,G
